col0,col1,col2
2996.199999999994,-8.448801071397351e-16,4.106443786255226e-16
2996.3999999999937,-1.2068018271502103e-15,3.88958905807714e-16
2996.5999999999935,-1.507810866824787e-15,3.8131940977730906e-16
2996.7999999999934,-1.046196333537796e-15,3.900386345874468e-16
2996.999999999993,-1.6352202922013579e-15,3.6022333954189147e-16
2997.199999999993,-1.7410893520918968e-15,3.5778062887090807e-16
2997.399999999993,-1.0827162649377836e-15,3.5373088494074646e-16
2997.5999999999926,7.995376261449346e-17,3.530450264814869e-16
2997.7999999999925,-3.372716054074969e-16,3.403431851022574e-16
2997.9999999999923,-9.286848057872468e-16,3.289058580341602e-16
2998.199999999992,-8.400261318959352e-16,3.2769475973826417e-16
2998.399999999992,-3.668893829576644e-16,3.3015629042254437e-16
2998.5999999999917,-1.097266795429065e-16,3.323778725547352e-16
2998.7999999999915,-1.0014880287575827e-15,3.2079808513282165e-16
2998.9999999999914,-5.232818140997746e-16,3.2058910622286625e-16
2999.199999999991,-7.518228970324504e-16,3.108920877542418e-16
2999.399999999991,-7.485750550753221e-16,2.908702935239591e-16
2999.599999999991,4.9905283898421526e-14,6.008876122370888e-14
2999.7999999999906,3.0641721798785326e-14,5.903011911743972e-14
2999.9999999999905,-1.2250523166691066e-14,5.823399623844719e-14
3000.1999999999903,-2.052082191238841e-13,5.370755720040567e-14
3000.39999999999,-6.607748067244054e-14,5.449856738852857e-14
3000.59999999999,-2.90414766616464e-14,5.2813158170740906e-14
3000.7999999999897,-2.241951199341563e-14,5.2980677570785284e-14
3000.9999999999895,-1.3784152042440462e-13,4.9837575472749807e-14
3001.1999999999894,-6.111434871624438e-14,5.076815297365769e-14
3001.399999999989,-3.644687226718804e-14,4.887049423994705e-14
3001.599999999989,-1.596460593930593e-14,4.770929677255613e-14
3001.799999999989,-3.512144188758809e-14,4.669563550391796e-14
3001.9999999999886,-6.898310183712023e-14,4.352190469450977e-14
3002.1999999999884,-6.287222329673554e-15,4.3180103183370136e-14
3002.3999999999883,-1.1554858903462667e-13,4.203244130247634e-14
3002.599999999988,-1.499185568439379e-13,4.0403895100503753e-14
3002.799999999988,-1.1156555551356667e-13,4.048425819840745e-14
3002.9999999999877,-3.3244816676023664e-14,3.997517784458046e-14
